,Files,Phase
312,video01_7825,CalotTriangleDissection
313,video01_7850,CalotTriangleDissection
314,video01_7875,CalotTriangleDissection
315,video01_7900,CalotTriangleDissection
316,video01_7925,CalotTriangleDissection
317,video01_7950,CalotTriangleDissection
318,video01_7975,CalotTriangleDissection
319,video01_8000,CalotTriangleDissection
320,video01_8025,CalotTriangleDissection
321,video01_8050,CalotTriangleDissection
322,video01_8075,CalotTriangleDissection
323,video01_8100,CalotTriangleDissection
324,video01_8125,CalotTriangleDissection
325,video01_8150,CalotTriangleDissection
326,video01_8175,CalotTriangleDissection
327,video01_8200,CalotTriangleDissection
328,video01_8225,CalotTriangleDissection
329,video01_8250,CalotTriangleDissection
330,video01_8275,CalotTriangleDissection
331,video01_8300,CalotTriangleDissection
332,video01_8325,CalotTriangleDissection
333,video01_8350,CalotTriangleDissection
334,video01_8375,CalotTriangleDissection
335,video01_8400,CalotTriangleDissection
336,video01_8425,CalotTriangleDissection
337,video01_8450,CalotTriangleDissection
338,video01_8475,CalotTriangleDissection
339,video01_8500,CalotTriangleDissection
340,video01_8525,CalotTriangleDissection
341,video01_8550,CalotTriangleDissection
342,video01_8575,CalotTriangleDissection
343,video01_8600,CalotTriangleDissection
344,video01_8625,CalotTriangleDissection
345,video01_8650,CalotTriangleDissection
346,video01_8675,CalotTriangleDissection
347,video01_8700,CalotTriangleDissection
348,video01_8725,CalotTriangleDissection
349,video01_8750,CalotTriangleDissection
350,video01_8775,CalotTriangleDissection
351,video01_8800,CalotTriangleDissection
352,video01_8825,CalotTriangleDissection
353,video01_8850,CalotTriangleDissection
354,video01_8875,CalotTriangleDissection
355,video01_8900,CalotTriangleDissection
356,video01_8925,CalotTriangleDissection
357,video01_8950,CalotTriangleDissection
358,video01_8975,CalotTriangleDissection
359,video01_9000,CalotTriangleDissection
360,video01_9025,CalotTriangleDissection
361,video01_9050,CalotTriangleDissection
362,video01_9075,CalotTriangleDissection
363,video01_9100,CalotTriangleDissection
364,video01_9125,CalotTriangleDissection
365,video01_9150,CalotTriangleDissection
366,video01_9175,CalotTriangleDissection
367,video01_9200,CalotTriangleDissection
368,video01_9225,CalotTriangleDissection
369,video01_9250,CalotTriangleDissection
370,video01_9275,CalotTriangleDissection
371,video01_9300,CalotTriangleDissection
372,video01_9325,CalotTriangleDissection
373,video01_9350,CalotTriangleDissection
374,video01_9375,CalotTriangleDissection
375,video01_9400,CalotTriangleDissection
376,video01_9425,CalotTriangleDissection
377,video01_9450,CalotTriangleDissection
378,video01_9475,CalotTriangleDissection
379,video01_9500,CalotTriangleDissection
380,video01_9525,CalotTriangleDissection
381,video01_9550,CalotTriangleDissection
382,video01_9575,CalotTriangleDissection
383,video01_9600,CalotTriangleDissection
384,video01_9625,CalotTriangleDissection
385,video01_9650,CalotTriangleDissection
386,video01_9675,CalotTriangleDissection
387,video01_9700,CalotTriangleDissection
388,video01_9725,CalotTriangleDissection
389,video01_9750,CalotTriangleDissection
390,video01_9775,CalotTriangleDissection
391,video01_9800,CalotTriangleDissection
392,video01_9825,CalotTriangleDissection
393,video01_9850,CalotTriangleDissection
394,video01_9875,CalotTriangleDissection
395,video01_9900,CalotTriangleDissection
396,video01_9925,CalotTriangleDissection
397,video01_9950,CalotTriangleDissection
398,video01_9975,CalotTriangleDissection
399,video01_10000,CalotTriangleDissection
400,video01_10025,CalotTriangleDissection
401,video01_10050,CalotTriangleDissection
402,video01_10075,CalotTriangleDissection
403,video01_10100,CalotTriangleDissection
404,video01_10125,CalotTriangleDissection
405,video01_10150,CalotTriangleDissection
406,video01_10175,CalotTriangleDissection
407,video01_10200,CalotTriangleDissection
408,video01_10225,CalotTriangleDissection
409,video01_10250,CalotTriangleDissection
410,video01_10275,CalotTriangleDissection
411,video01_10300,CalotTriangleDissection
412,video01_10325,CalotTriangleDissection
413,video01_10350,CalotTriangleDissection
414,video01_10375,CalotTriangleDissection
415,video01_10400,CalotTriangleDissection
416,video01_10425,CalotTriangleDissection
417,video01_10450,CalotTriangleDissection
418,video01_10475,CalotTriangleDissection
419,video01_10500,CalotTriangleDissection
420,video01_10525,CalotTriangleDissection
421,video01_10550,CalotTriangleDissection
422,video01_10575,CalotTriangleDissection
423,video01_10600,CalotTriangleDissection
424,video01_10625,CalotTriangleDissection
425,video01_10650,CalotTriangleDissection
426,video01_10675,CalotTriangleDissection
427,video01_10700,CalotTriangleDissection
428,video01_10725,CalotTriangleDissection
429,video01_10750,CalotTriangleDissection
430,video01_10775,CalotTriangleDissection
431,video01_10800,CalotTriangleDissection
432,video01_10825,CalotTriangleDissection
433,video01_10850,CalotTriangleDissection
434,video01_10875,CalotTriangleDissection
435,video01_10900,CalotTriangleDissection
436,video01_10925,CalotTriangleDissection
437,video01_10950,CalotTriangleDissection
438,video01_10975,CalotTriangleDissection
439,video01_11000,CalotTriangleDissection
440,video01_11025,CalotTriangleDissection
441,video01_11050,CalotTriangleDissection
442,video01_11075,CalotTriangleDissection
443,video01_11100,CalotTriangleDissection
444,video01_11125,CalotTriangleDissection
445,video01_11150,CalotTriangleDissection
446,video01_11175,CalotTriangleDissection
447,video01_11200,CalotTriangleDissection
448,video01_11225,CalotTriangleDissection
449,video01_11250,CalotTriangleDissection
450,video01_11275,CalotTriangleDissection
451,video01_11300,CalotTriangleDissection
452,video01_11325,CalotTriangleDissection
453,video01_11350,CalotTriangleDissection
454,video01_11375,CalotTriangleDissection
455,video01_11400,CalotTriangleDissection
456,video01_11425,CalotTriangleDissection
457,video01_11450,CalotTriangleDissection
458,video01_11475,CalotTriangleDissection
459,video01_11500,CalotTriangleDissection
460,video01_11525,CalotTriangleDissection
461,video01_11550,CalotTriangleDissection
462,video01_11575,CalotTriangleDissection
463,video01_11600,CalotTriangleDissection
464,video01_11625,CalotTriangleDissection
465,video01_11650,CalotTriangleDissection
466,video01_11675,CalotTriangleDissection
467,video01_11700,CalotTriangleDissection
468,video01_11725,CalotTriangleDissection
469,video01_11750,CalotTriangleDissection
470,video01_11775,CalotTriangleDissection
471,video01_11800,CalotTriangleDissection
472,video01_11825,CalotTriangleDissection
473,video01_11850,CalotTriangleDissection
474,video01_11875,CalotTriangleDissection
475,video01_11900,CalotTriangleDissection
476,video01_11925,CalotTriangleDissection
477,video01_11950,CalotTriangleDissection
478,video01_11975,CalotTriangleDissection
479,video01_12000,CalotTriangleDissection
480,video01_12025,CalotTriangleDissection
481,video01_12050,CalotTriangleDissection
482,video01_12075,CalotTriangleDissection
483,video01_12100,CalotTriangleDissection
484,video01_12125,CalotTriangleDissection
485,video01_12150,CalotTriangleDissection
486,video01_12175,CalotTriangleDissection
487,video01_12200,CalotTriangleDissection
488,video01_12225,CalotTriangleDissection
489,video01_12250,CalotTriangleDissection
490,video01_12275,CalotTriangleDissection
491,video01_12300,CalotTriangleDissection
492,video01_12325,CalotTriangleDissection
493,video01_12350,CalotTriangleDissection
494,video01_12375,CalotTriangleDissection
495,video01_12400,CalotTriangleDissection
496,video01_12425,CalotTriangleDissection
497,video01_12450,CalotTriangleDissection
498,video01_12475,CalotTriangleDissection
499,video01_12500,CalotTriangleDissection
500,video01_12525,CalotTriangleDissection
501,video01_12550,CalotTriangleDissection
502,video01_12575,CalotTriangleDissection
503,video01_12600,CalotTriangleDissection
504,video01_12625,CalotTriangleDissection
505,video01_12650,CalotTriangleDissection
506,video01_12675,CalotTriangleDissection
507,video01_12700,CalotTriangleDissection
508,video01_12725,CalotTriangleDissection
509,video01_12750,CalotTriangleDissection
510,video01_12775,CalotTriangleDissection
511,video01_12800,CalotTriangleDissection
512,video01_12825,CalotTriangleDissection
513,video01_12850,CalotTriangleDissection
514,video01_12875,CalotTriangleDissection
515,video01_12900,CalotTriangleDissection
516,video01_12925,CalotTriangleDissection
517,video01_12950,CalotTriangleDissection
518,video01_12975,CalotTriangleDissection
519,video01_13000,CalotTriangleDissection
520,video01_13025,CalotTriangleDissection
521,video01_13050,CalotTriangleDissection
522,video01_13075,CalotTriangleDissection
523,video01_13100,CalotTriangleDissection
524,video01_13125,CalotTriangleDissection
525,video01_13150,CalotTriangleDissection
526,video01_13175,CalotTriangleDissection
527,video01_13200,CalotTriangleDissection
528,video01_13225,CalotTriangleDissection
529,video01_13250,CalotTriangleDissection
530,video01_13275,CalotTriangleDissection
531,video01_13300,CalotTriangleDissection
532,video01_13325,CalotTriangleDissection
533,video01_13350,CalotTriangleDissection
534,video01_13375,CalotTriangleDissection
535,video01_13400,CalotTriangleDissection
536,video01_13425,CalotTriangleDissection
537,video01_13450,CalotTriangleDissection
538,video01_13475,CalotTriangleDissection
539,video01_13500,CalotTriangleDissection
540,video01_13525,CalotTriangleDissection
541,video01_13550,CalotTriangleDissection
542,video01_13575,CalotTriangleDissection
543,video01_13600,CalotTriangleDissection
544,video01_13625,CalotTriangleDissection
545,video01_13650,CalotTriangleDissection
546,video01_13675,CalotTriangleDissection
547,video01_13700,CalotTriangleDissection
548,video01_13725,CalotTriangleDissection
549,video01_13750,CalotTriangleDissection
550,video01_13775,CalotTriangleDissection
551,video01_13800,CalotTriangleDissection
552,video01_13825,CalotTriangleDissection
553,video01_13850,CalotTriangleDissection
554,video01_13875,CalotTriangleDissection
555,video01_13900,CalotTriangleDissection
556,video01_13925,CalotTriangleDissection
557,video01_13950,CalotTriangleDissection
558,video01_13975,CalotTriangleDissection
559,video01_14000,CalotTriangleDissection
560,video01_14025,CalotTriangleDissection
561,video01_14050,CalotTriangleDissection
562,video01_14075,CalotTriangleDissection
563,video01_14100,CalotTriangleDissection
564,video01_14125,CalotTriangleDissection
565,video01_14150,CalotTriangleDissection
566,video01_14175,CalotTriangleDissection
567,video01_14200,CalotTriangleDissection
568,video01_14225,CalotTriangleDissection
569,video01_14250,CalotTriangleDissection
570,video01_14275,CalotTriangleDissection
571,video01_14300,CalotTriangleDissection
572,video01_14325,CalotTriangleDissection
573,video01_14350,CalotTriangleDissection
574,video01_14375,CalotTriangleDissection
575,video01_14400,CalotTriangleDissection
576,video01_14425,CalotTriangleDissection
577,video01_14450,CalotTriangleDissection
578,video01_14475,CalotTriangleDissection
579,video01_14500,CalotTriangleDissection
580,video01_14525,CalotTriangleDissection
581,video01_14550,CalotTriangleDissection
582,video01_14575,CalotTriangleDissection
583,video01_14600,CalotTriangleDissection
584,video01_14625,CalotTriangleDissection
585,video01_14650,CalotTriangleDissection
586,video01_14675,CalotTriangleDissection
587,video01_14700,CalotTriangleDissection
588,video01_14725,CalotTriangleDissection
589,video01_14750,CalotTriangleDissection
590,video01_14775,CalotTriangleDissection
591,video01_14800,CalotTriangleDissection
592,video01_14825,CalotTriangleDissection
593,video01_14850,CalotTriangleDissection
594,video01_14875,CalotTriangleDissection
595,video01_14900,CalotTriangleDissection
596,video01_14925,CalotTriangleDissection
597,video01_14950,CalotTriangleDissection
598,video01_14975,CalotTriangleDissection
599,video01_15000,CalotTriangleDissection
600,video01_15025,CalotTriangleDissection
601,video01_15050,CalotTriangleDissection
602,video01_15075,CalotTriangleDissection
603,video01_15100,CalotTriangleDissection
604,video01_15125,CalotTriangleDissection
605,video01_15150,CalotTriangleDissection
606,video01_15175,CalotTriangleDissection
607,video01_15200,CalotTriangleDissection
608,video01_15225,CalotTriangleDissection
609,video01_15250,CalotTriangleDissection
610,video01_15275,CalotTriangleDissection
611,video01_15300,CalotTriangleDissection
612,video01_15325,CalotTriangleDissection
613,video01_15350,CalotTriangleDissection
614,video01_15375,CalotTriangleDissection
615,video01_15400,CalotTriangleDissection
616,video01_15425,CalotTriangleDissection
617,video01_15450,CalotTriangleDissection
618,video01_15475,CalotTriangleDissection
619,video01_15500,CalotTriangleDissection
620,video01_15525,CalotTriangleDissection
621,video01_15550,CalotTriangleDissection
622,video01_15575,CalotTriangleDissection
623,video01_15600,CalotTriangleDissection
624,video01_15625,CalotTriangleDissection
625,video01_15650,CalotTriangleDissection
626,video01_15675,CalotTriangleDissection
627,video01_15700,CalotTriangleDissection
628,video01_15725,CalotTriangleDissection
629,video01_15750,CalotTriangleDissection
630,video01_15775,CalotTriangleDissection
631,video01_15800,CalotTriangleDissection
632,video01_15825,CalotTriangleDissection
633,video01_15850,CalotTriangleDissection
634,video01_15875,CalotTriangleDissection
635,video01_15900,CalotTriangleDissection
636,video01_15925,CalotTriangleDissection
637,video01_15950,CalotTriangleDissection
638,video01_15975,CalotTriangleDissection
639,video01_16000,CalotTriangleDissection
640,video01_16025,CalotTriangleDissection
641,video01_16050,CalotTriangleDissection
642,video01_16075,CalotTriangleDissection
643,video01_16100,CalotTriangleDissection
644,video01_16125,CalotTriangleDissection
645,video01_16150,CalotTriangleDissection
646,video01_16175,CalotTriangleDissection
647,video01_16200,CalotTriangleDissection
648,video01_16225,CalotTriangleDissection
649,video01_16250,CalotTriangleDissection
650,video01_16275,CalotTriangleDissection
651,video01_16300,CalotTriangleDissection
652,video01_16325,CalotTriangleDissection
653,video01_16350,CalotTriangleDissection
654,video01_16375,CalotTriangleDissection
655,video01_16400,CalotTriangleDissection
656,video01_16425,CalotTriangleDissection
657,video01_16450,CalotTriangleDissection
658,video01_16475,CalotTriangleDissection
659,video01_16500,CalotTriangleDissection
660,video01_16525,CalotTriangleDissection
661,video01_16550,CalotTriangleDissection
662,video01_16575,CalotTriangleDissection
663,video01_16600,CalotTriangleDissection
664,video01_16625,CalotTriangleDissection
665,video01_16650,CalotTriangleDissection
666,video01_16675,CalotTriangleDissection
667,video01_16700,CalotTriangleDissection
668,video01_16725,CalotTriangleDissection
669,video01_16750,CalotTriangleDissection
670,video01_16775,CalotTriangleDissection
671,video01_16800,CalotTriangleDissection
672,video01_16825,ClippingCutting
673,video01_16850,ClippingCutting
674,video01_16875,ClippingCutting
675,video01_16900,ClippingCutting
676,video01_16925,ClippingCutting
677,video01_16950,ClippingCutting
678,video01_16975,ClippingCutting
679,video01_17000,ClippingCutting
680,video01_17025,ClippingCutting
681,video01_17050,ClippingCutting
682,video01_17075,ClippingCutting
683,video01_17100,ClippingCutting
684,video01_17125,ClippingCutting
685,video01_17150,ClippingCutting
686,video01_17175,ClippingCutting
687,video01_17200,ClippingCutting
688,video01_17225,ClippingCutting
689,video01_17250,ClippingCutting
690,video01_17275,ClippingCutting
691,video01_17300,ClippingCutting
692,video01_17325,ClippingCutting
693,video01_17350,ClippingCutting
694,video01_17375,ClippingCutting
695,video01_17400,ClippingCutting
696,video01_17425,ClippingCutting
697,video01_17450,ClippingCutting
698,video01_17475,ClippingCutting
699,video01_17500,ClippingCutting
700,video01_17525,ClippingCutting
701,video01_17550,ClippingCutting
702,video01_17575,ClippingCutting
703,video01_17600,ClippingCutting
704,video01_17625,ClippingCutting
705,video01_17650,ClippingCutting
706,video01_17675,ClippingCutting
707,video01_17700,ClippingCutting
708,video01_17725,ClippingCutting
709,video01_17750,ClippingCutting
710,video01_17775,ClippingCutting
711,video01_17800,ClippingCutting
712,video01_17825,ClippingCutting
713,video01_17850,ClippingCutting
714,video01_17875,ClippingCutting
715,video01_17900,ClippingCutting
716,video01_17925,ClippingCutting
717,video01_17950,ClippingCutting
718,video01_17975,ClippingCutting
719,video01_18000,ClippingCutting
720,video01_18025,ClippingCutting
721,video01_18050,ClippingCutting
722,video01_18075,ClippingCutting
723,video01_18100,ClippingCutting
724,video01_18125,ClippingCutting
725,video01_18150,ClippingCutting
726,video01_18175,ClippingCutting
727,video01_18200,ClippingCutting
728,video01_18225,ClippingCutting
729,video01_18250,ClippingCutting
730,video01_18275,ClippingCutting
731,video01_18300,ClippingCutting
732,video01_18325,ClippingCutting
733,video01_18350,ClippingCutting
734,video01_18375,ClippingCutting
735,video01_18400,ClippingCutting
736,video01_18425,ClippingCutting
737,video01_18450,ClippingCutting
738,video01_18475,ClippingCutting
739,video01_18500,ClippingCutting
740,video01_18525,ClippingCutting
741,video01_18550,ClippingCutting
742,video01_18575,ClippingCutting
743,video01_18600,ClippingCutting
744,video01_18625,ClippingCutting
745,video01_18650,ClippingCutting
746,video01_18675,ClippingCutting
747,video01_18700,ClippingCutting
748,video01_18725,ClippingCutting
749,video01_18750,ClippingCutting
750,video01_18775,ClippingCutting
751,video01_18800,ClippingCutting
752,video01_18825,ClippingCutting
753,video01_18850,ClippingCutting
754,video01_18875,ClippingCutting
755,video01_18900,ClippingCutting
756,video01_18925,ClippingCutting
